colnp,full,start,end,Term in Months,district
7,"Thiru J.M.Loboprabhu I.C.S., ",1954-01-01T00:00:00Z,1955-01-01T00:00:00Z,12,Kancheepuram
6,"Thiru G.E.Muthirulandi I.A.S., ",1953-01-01T00:00:00Z,1954-01-01T00:00:00Z,12,Kancheepuram
5,"Thiru H.S.Paul I.A.S., ",1952-01-01T00:00:00Z,1953-01-01T00:00:00Z,12,Kancheepuram
4,"Thiru R.Koteswararonaidu I.A.S., ",1951-01-01T00:00:00Z,1952-01-01T00:00:00Z,12,Kancheepuram
3,"Thiru S.Rajagopalaiyengar I.A.S., ",1949-01-01T00:00:00Z,1950-01-01T00:00:00Z,12,Kancheepuram
2,"Thiru S.Venkateswaran I.C.S., ",1947-01-01T00:00:00Z,1948-01-01T00:00:00Z,12,Kancheepuram
1,"Thiru T.S.Ramachandran I.C.S., ",1947-01-01T00:00:00Z,1947-01-01T00:00:00Z,0,Kancheepuram
50,"Mr.Prashant M. Wadnere,I.A.S ",2018-02-23T00:00:00Z,Present Collector,,Kanyakumari
49,"Mr.Sajjan Singh R Chavan,I.A.S. ",2014-09-24T00:00:00Z,2018-02-23T00:00:00Z,40,Kanyakumari
48,"Mr.S Nagarajan,I.A.S. ",2012-01-20T00:00:00Z,2014-09-23T00:00:00Z,32,Kanyakumari
47,"Tmt.S. Madhumathi,I.A.S. ",2011-08-03T00:00:00Z,2012-01-09T00:00:00Z,5,Kanyakumari
46,"Mr.Ashish Kumar,I.A.S. ",2011-06-07T00:00:00Z,2011-07-27T00:00:00Z,1,Kanyakumari
45,"Mr.RajendraRatnoo,I.A.S. ",2009-06-05T00:00:00Z,2011-06-05T00:00:00Z,24,Kanyakumari
44,"Dr.Rajendra Kumar,I.A.S. ",2008-11-10T00:00:00Z,2009-06-04T00:00:00Z,6,Kanyakumari
43,"Tmt.B. Jothi Nirmala,I.A.S. ",2008-02-25T00:00:00Z,2008-11-10T00:00:00Z,8,Kanyakumari
42,"Mr.ShunchonngamJatakChiru,I.A.S. ",2007-10-08T00:00:00Z,2008-02-24T00:00:00Z,4,Kanyakumari
41,"Mr.Devraj Dev,I.A.S. ",2007-06-11T00:00:00Z,2007-10-08T00:00:00Z,3,Kanyakumari
40,"Tmt.B.Jothi Nirmala,I.A.S.* ",2007-04-26T00:00:00Z,2007-06-10T00:00:00Z,1,Kanyakumari
39,"Dr S. Swarna,I.A.S. ",2007-02-12T00:00:00Z,2007-04-26T00:00:00Z,2,Kanyakumari
38,"Mr.SunilPaliwal,I.A.S. ",2005-01-08T00:00:00Z,2007-02-12T00:00:00Z,25,Kanyakumari
37,"Mr.Ramesh Chand Meena,I.A.S. ",2004-11-26T00:00:00Z,2005-01-08T00:00:00Z,1,Kanyakumari
36,"Mr.RajeshLakhoni,I.A.S. ",2003-07-16T00:00:00Z,2004-11-21T00:00:00Z,16,Kanyakumari
35,"Mr.Gagandeep Singh Bedi,I.A.S. ",2001-06-11T00:00:00Z,2003-07-15T00:00:00Z,25,Kanyakumari
34,"Mr.K.Balachandran,I.A.S. ",2001-02-26T00:00:00Z,2001-06-05T00:00:00Z,3,Kanyakumari
33,"Mr.Ramesh Chand Meena,I.A.S. ",2000-04-24T00:00:00Z,2001-02-03T00:00:00Z,9,Kanyakumari
32,"Mr.Pandian,I.A.S. ",1998-05-18T00:00:00Z,2000-04-23T00:00:00Z,23,Kanyakumari
31,"Mr.VishwanathShekhawker,I.A.S. ",1996-06-01T00:00:00Z,1998-05-11T00:00:00Z,23,Kanyakumari
30,"Mr.A.Panneerselvam,I.A.S. ",1995-10-27T00:00:00Z,1996-05-31T00:00:00Z,7,Kanyakumari
29,"Mr.R. Rajagopal,I.A.S. ",1994-10-31T00:00:00Z,1995-10-26T00:00:00Z,11,Kanyakumari
28,"Mr.Ambuj Sharma,I.A.S. ",1993-05-21T00:00:00Z,1994-09-25T00:00:00Z,16,Kanyakumari
27,"Mr.RajivNayanChoubey,I.A.S. ",1991-02-24T00:00:00Z,1993-05-20T00:00:00Z,26,Kanyakumari
26,"Mr.M Gopala Krishna,I.A.S. ",1989-10-19T00:00:00Z,1991-02-23T00:00:00Z,16,Kanyakumari
25,"Dr.N.Sundaradevan,I.A.S. ",1988-03-10T00:00:00Z,1989-10-11T00:00:00Z,19,Kanyakumari
24,"Mr.Syed Munir Hoda,I.A.S. ",1985-09-20T00:00:00Z,1988-02-13T00:00:00Z,28,Kanyakumari
23,"Mr.M.Karuppaiya,I.A.S. ",1984-08-22T00:00:00Z,1985-09-19T00:00:00Z,12,Kanyakumari
22,"Mr.L.K. Tripathi,I.A.S. ",1983-03-20T00:00:00Z,1984-08-21T00:00:00Z,17,Kanyakumari
21,"Mr.M.B. Pranesh,I.A.S. ",1982-03-14T00:00:00Z,1983-03-19T00:00:00Z,12,Kanyakumari
20,"ShriJ.T. Acharyulu,I.A.S. ",1981-05-28T00:00:00Z,1982-03-13T00:00:00Z,9,Kanyakumari
19,"Mr.A.Abdul Aziz,I.A.S. ",1980-02-14T00:00:00Z,1981-05-26T00:00:00Z,15,Kanyakumari
18,"Mr.DuraiSundaresan,I.A.S. ",1979-05-03T00:00:00Z,1980-02-13T00:00:00Z,9,Kanyakumari
17,"Mr.M.K.Balasubramanian,I.A.S. ",1978-05-10T00:00:00Z,1979-05-03T00:00:00Z,11,Kanyakumari
16,"Mr.V.Sankarasubbaiyan,I.A.S. ",1976-05-24T00:00:00Z,1978-05-03T00:00:00Z,23,Kanyakumari
15,"Mr.V.T.Thurairaj,I.A.S. ",1975-02-12T00:00:00Z,1976-05-24T00:00:00Z,15,Kanyakumari
14,"Mr.C.Thangaraju,I.A.S. ",1974-04-24T00:00:00Z,1975-02-12T00:00:00Z,9,Kanyakumari
13,"Mr.R.Swaminathan,I.A.S. ",1973-08-22T00:00:00Z,1974-04-05T00:00:00Z,7,Kanyakumari
12,"Mr.A.P.Muthuswami,I.A.S. ",1971-04-24T00:00:00Z,1973-08-22T00:00:00Z,27,Kanyakumari
11,"Mr.K.S.Ramakrishnan,I.A.S. ",1970-03-07T00:00:00Z,1971-04-22T00:00:00Z,13,Kanyakumari
10,"Mr.R.A.Seetharam Das,I.A.S. ",1968-10-12T00:00:00Z,1970-02-14T00:00:00Z,16,Kanyakumari
9,"Mr.C.N.Raghavan,I.A.S. ",1967-08-22T00:00:00Z,1968-09-09T00:00:00Z,12,Kanyakumari
8,"Mr.P.B.Krishnaswamy,I.A.S. ",1965-04-27T00:00:00Z,1967-08-21T00:00:00Z,27,Kanyakumari
7,"Mr.V.K.C.Natarajan,I.A.S. ",1964-08-04T00:00:00Z,1965-04-26T00:00:00Z,8,Kanyakumari
6,"Mr.K.J.M.Shetty,I.A.S. ",1963-08-19T00:00:00Z,1964-08-03T00:00:00Z,11,Kanyakumari
5,"Mr.C.V.S.Moni,I.A.S. ",1963-02-28T00:00:00Z,1963-07-25T00:00:00Z,4,Kanyakumari
4,"Mr.S.Krishnaswari,I.A.S. ",1962-12-15T00:00:00Z,1963-02-14T00:00:00Z,1,Kanyakumari
3,"Mr.A.S.Venkatraman,I.A.S. ",1962-06-19T00:00:00Z,1962-12-14T00:00:00Z,5,Kanyakumari
2,"Mr.J.A.Ambasankar,I.A.S. ",1958-12-02T00:00:00Z,1962-05-17T00:00:00Z,41,Kanyakumari
1,"Mr.R.Thirumalai,I.A.S. ",1956-11-01T00:00:00Z,1958-12-01T00:00:00Z,25,Kanyakumari
15,"Thiru. T. Anbalagan, IAS., ",2018-03-02T00:00:00Z,,,Karur
14,"Thiru.G. Govindaraj, IAS., ",2016-07-31T00:00:00Z,2018-02-26T00:00:00Z,18,Karur
13,"Tmt. Kakarla Usha, IAS., ",2016-05-02T00:00:00Z,2016-07-27T00:00:00Z,2,Karur
12,"Thiru. T.P. Rajesh, IAS., ",2016-01-22T00:00:00Z,2016-04-30T00:00:00Z,3,Karur
11,"Tmt. S. Jayandhi, IAS., ",2012-10-03T00:00:00Z,2016-01-21T00:00:00Z,39,Karur
10,"Tmt.V. Shobana, IAS., ",2011-06-08T00:00:00Z,2012-10-01T00:00:00Z,15,Karur
9,"Dr. Tmt.J.Uma Maheshwari, IAS., ",2008-11-10T00:00:00Z,2011-06-03T00:00:00Z,30,Karur
8,"Thiru.T.N. Venkatesh, IAS., ",2006-09-11T00:00:00Z,2008-11-08T00:00:00Z,25,Karur
7,"Dr.B. Chandra Mohan, IAS., ",2006-06-23T00:00:00Z,2006-09-10T00:00:00Z,2,Karur
6,"Thiru.A. Karthik, IAS., ",2005-01-13T00:00:00Z,2006-06-23T00:00:00Z,17,Karur
5,"Thiru.K. Ramamoorthi, IAS., ",2004-06-02T00:00:00Z,2005-01-12T00:00:00Z,7,Karur
4,"Thiru. P. Annamalai, IAS., ",2001-06-11T00:00:00Z,2004-06-01T00:00:00Z,35,Karur
3,"Thiru.N. Muruganandam, IAS., ",1999-12-05T00:00:00Z,2001-06-10T00:00:00Z,18,Karur
2,"Thiru.S. Ayyar, IAS., ",1997-05-28T00:00:00Z,1999-12-04T00:00:00Z,30,Karur
1,Thiru. T. Jacob ,1995-11-01T00:00:00Z,1997-05-27T00:00:00Z,18,Karur
16,Thiru Praveen P Nair I.A.S ,2019-09-25T00:00:00Z,Till Date,,Nagapattinum
16,Dr. S Suresh Kumar I.A.S ,2017-06-01T00:00:00Z,2019-09-23T00:00:00Z,27,Nagapattinum
15,Shri. S Palanisamy I.A.S ,2014-12-28T00:00:00Z,2017-05-31T00:00:00Z,29,Nagapattinum
14,Shri. T Munusamy I.A.S ,2011-06-06T00:00:00Z,2014-12-27T00:00:00Z,42,Nagapattinum
13,Shri. C Munianathan I.A.S ,2009-06-02T00:00:00Z,2011-06-05T00:00:00Z,24,Nagapattinum
12,Shri. M Jeyaraman I.A.S ,2008-06-06T00:00:00Z,2009-06-02T00:00:00Z,11,Nagapattinum
11,Shri. Tenkasi S Jawahar I.A.S ,2006-05-18T00:00:00Z,2008-06-05T00:00:00Z,24,Nagapattinum
10,Shri. RadhaKrishnan I.A.S ,2005-01-10T00:00:00Z,2006-05-17T00:00:00Z,16,Nagapattinum
9,Shri. M VeeraShanmughamoni I.A.S ,2003-07-18T00:00:00Z,2005-01-09T00:00:00Z,17,Nagapattinum
8,Shri.S Ramachandran I.A.S ,2003-05-23T00:00:00Z,2003-07-17T00:00:00Z,1,Nagapattinum
7,Shri. Sudeep Jain I.A.S ,2001-06-11T00:00:00Z,2003-05-22T00:00:00Z,23,Nagapattinum
6,Shri. Shiv Das Meena I.A.S ,1998-04-25T00:00:00Z,2001-06-10T00:00:00Z,37,Nagapattinum
5,Shri. Ashok Dongre I.A.S ,1997-05-09T00:00:00Z,1998-04-24T00:00:00Z,11,Nagapattinum
4,Shri. K Arulmozhi I.A.S ,1995-12-11T00:00:00Z,1997-05-08T00:00:00Z,16,Nagapattinum
3,Shri. R Bhaskaran I.A.S ,1994-10-31T00:00:00Z,1995-12-10T00:00:00Z,13,Nagapattinum
2,Shri. S Sawarkar I.A.S ,1993-08-16T00:00:00Z,1994-10-30T00:00:00Z,14,Nagapattinum
1,Shri. K Skandan I.A.S ,1991-10-18T00:00:00Z,1993-08-15T00:00:00Z,21,Nagapattinum
14,"Thiru. K.Megraj, I.A.S. ",2019-09-25T00:00:00Z,Present Collector,,Nammakal
13,"Tmt.M.Asia Mariam, I.A.S. ",2016-07-31T00:00:00Z,2019-09-25T00:00:00Z,37,Nammakal
12,"Mr.V.Dakshinamoorthy, I.A.S. ",2013-07-22T00:00:00Z,2016-07-31T00:00:00Z,36,Nammakal
11,"Dr.D.Jagannathan, I.A.S. ",2012-09-07T00:00:00Z,2013-07-22T00:00:00Z,10,Nammakal
10,"Mr.J.Kumaragurubaran, I.A.S. ",2011-06-08T00:00:00Z,2012-09-07T00:00:00Z,14,Nammakal
9,"Tmt.S.Madumathi, I.A.S. ",2010-10-01T00:00:00Z,2011-06-07T00:00:00Z,8,Nammakal
8,"Mr.U.Sagayam, I.A.S. ",2008-06-09T00:00:00Z,2010-09-18T00:00:00Z,27,Nammakal
7,"Mr.G.Sundaramurthi, I.A.S. ",2007-07-07T00:00:00Z,2008-04-17T00:00:00Z,9,Nammakal
6,"Mr.G.Sundaramurthi, I.A.S. ",2006-05-26T00:00:00Z,2007-06-16T00:00:00Z,12,Nammakal
5,"Mr.V.M.Xavier Chrisso Nayagam, I.A.S. ",2004-06-02T00:00:00Z,2006-05-20T00:00:00Z,23,Nammakal
4,"Mr.D.Rajendran, I.A.S. ",2001-06-11T00:00:00Z,2004-05-30T00:00:00Z,35,Nammakal
3,"Mr.G.Ramamoorthy, I.A.S. ",2001-01-22T00:00:00Z,2001-06-10T00:00:00Z,4,Nammakal
2,"Mr.Dayanand Kataria, I.A.S. ",1998-04-27T00:00:00Z,2001-01-21T00:00:00Z,32,Nammakal
1,"Mr.Ruolkhumlien Buhril, I.A.S. ",1996-08-09T00:00:00Z,1998-04-26T00:00:00Z,20,Nammakal
113,"Tmt. J. Innocent Divya, I.A.S., ",2017-07-10T00:00:00Z,Present,,Nilgiris
112,"Dr. P. Shankar, I.A.S., ",2013-10-23T00:00:00Z,2017-07-01T00:00:00Z,44,Nilgiris
111,"Archana Patnaik, I.A.S., ",2010-03-15T00:00:00Z,2013-10-10T00:00:00Z,42,Nilgiris
110,"Anandrao Vishnu Patil, I.A.S., ",2007-11-16T00:00:00Z,2010-03-15T00:00:00Z,27,Nilgiris
109,"Santosh K. Misra, I.A.S., ",2006-06-05T00:00:00Z,2007-11-06T00:00:00Z,17,Nilgiris
108,"C. Vijayaraj Kumar, I.A.S., ",2005-02-20T00:00:00Z,2006-06-04T00:00:00Z,15,Nilgiris
107,"K.S. Muthuswaamy, I.A.S., ",2004-06-02T00:00:00Z,2005-02-19T00:00:00Z,8,Nilgiris
106,"K. Sellamuthu, I.A.S., ",2002-11-07T00:00:00Z,2004-06-01T00:00:00Z,18,Nilgiris
105,"Supriya Sahu, I.A.S., ",2000-08-09T00:00:00Z,2002-11-06T00:00:00Z,26,Nilgiris
104,"P. Sivasankaran, I.A.S., ",1999-04-05T00:00:00Z,2000-08-08T00:00:00Z,16,Nilgiris
103,"P. Sonai, I.A.S., ",1996-06-03T00:00:00Z,1999-04-04T00:00:00Z,34,Nilgiris
102,"Shashi Shekhar, I.A.S., ",1994-01-27T00:00:00Z,1996-05-30T00:00:00Z,28,Nilgiris
101,"T. Pitchandi, I.A.S., ",1993-09-17T00:00:00Z,1994-01-26T00:00:00Z,4,Nilgiris
100,"Leena Nair, I.A.S., ",1991-03-25T00:00:00Z,1993-09-16T00:00:00Z,29,Nilgiris
99,"G.A. Rajkumar, I.A.S., ",1990-02-21T00:00:00Z,1991-03-24T00:00:00Z,13,Nilgiris
98,"R. Kasinathan, I.A.S., ",1989-03-24T00:00:00Z,1990-02-02T00:00:00Z,10,Nilgiris
97,"K.S. Sripathi, I.A.S., ",1986-05-12T00:00:00Z,1989-03-23T00:00:00Z,34,Nilgiris
96,"N.P. Gupta, I.A.S., ",1984-04-25T00:00:00Z,1986-05-12T00:00:00Z,24,Nilgiris
95,"N. Athimoolam, I.A.S., ",1982-12-10T00:00:00Z,1984-04-25T00:00:00Z,16,Nilgiris
94,"Jayanthi, I.A.S., ",1981-09-18T00:00:00Z,1982-11-30T00:00:00Z,14,Nilgiris
93,"M. Krishnan, I.A.S., ",1981-06-26T00:00:00Z,1981-09-16T00:00:00Z,2,Nilgiris
92,"Sukavaneshvar, I.A.S., ",1979-08-12T00:00:00Z,1981-06-15T00:00:00Z,22,Nilgiris
91,"K. Dharmarajan, I.A.S., ",1978-02-19T00:00:00Z,1979-07-11T00:00:00Z,16,Nilgiris
90,"K. Inbasagaran, I.A.S., ",1976-03-11T00:00:00Z,1978-02-18T00:00:00Z,23,Nilgiris
89,"V. Selvaraj, I.A.S., ",1974-04-01T00:00:00Z,1976-03-10T00:00:00Z,23,Nilgiris
88,"A.P. Muthuswamy, I.A.S., ",1973-09-01T00:00:00Z,1974-04-01T00:00:00Z,7,Nilgiris
87,"R.. Saminathan, I.A.S., ",1972-06-04T00:00:00Z,1973-08-20T00:00:00Z,14,Nilgiris
86,"J. Sivakumar, I.A.S., ",1970-11-23T00:00:00Z,1972-05-24T00:00:00Z,18,Nilgiris
85,"A.S. Ahulwalia, I.A.S., ",1966-07-27T00:00:00Z,1970-11-22T00:00:00Z,51,Nilgiris
84,"H.M. Singh, I.A.S., ",1965-09-01T00:00:00Z,1966-07-09T00:00:00Z,10,Nilgiris
83,"R. Pasupathi, I.A.S., ",1963-05-29T00:00:00Z,1965-08-31T00:00:00Z,27,Nilgiris
82,"G.M. White, I.A.S., ",1962-06-07T00:00:00Z,1963-05-28T00:00:00Z,11,Nilgiris
81,"O.H. Dias, I.A.S., ",1960-01-19T00:00:00Z,1962-06-04T00:00:00Z,28,Nilgiris
80,"K.J. Somasundaram, I.A.S., ",1958-11-17T00:00:00Z,1960-01-18T00:00:00Z,14,Nilgiris
79,"J.M. Loboprobhu, I.A.S., ",1957-11-10T00:00:00Z,1958-11-16T00:00:00Z,12,Nilgiris
78,"P. Sankara Rao, I.A.S., ",1955-11-08T00:00:00Z,1957-11-09T00:00:00Z,24,Nilgiris
77,"N. Krishnaswamy, I.A.S., ",1954-12-01T00:00:00Z,1955-11-07T00:00:00Z,11,Nilgiris
76,"J.E.R. Perianayakan, I.A.S., ",1954-07-15T00:00:00Z,1954-11-26T00:00:00Z,4,Nilgiris
75,"P.K.. Nambiar, I.A.S., ",1954-01-27T00:00:00Z,1954-01-11T00:00:00Z,0,Nilgiris
74,"H.G.M. Mclaughlin, I.A.S., ",1949-12-27T00:00:00Z,1954-01-09T00:00:00Z,48,Nilgiris
73,"J.P.L. Gwyne, I.C.S., ",1949-08-07T00:00:00Z,1949-12-15T00:00:00Z,4,Nilgiris
72,"S. Rajagopalan Iyengar, B.A., ",1948-08-14T00:00:00Z,1949-08-06T00:00:00Z,11,Nilgiris
71,"T.S. Ramachandran, I.C.S., ",1947-09-06T00:00:00Z,1948-08-13T00:00:00Z,11,Nilgiris
70,"H.H. Craleston, I.C.S., ",1947-01-15T00:00:00Z,1947-09-05T00:00:00Z,7,Nilgiris
69,"A.D. Crombie, I.C.S., ",1946-08-08T00:00:00Z,1947-01-14T00:00:00Z,5,Nilgiris
68,"I.M. Frazer, I.C.S., ",1945-01-09T00:00:00Z,1946-07-11T00:00:00Z,18,Nilgiris
67,"A.D. Crombie, I.C.S., ",1943-12-25T00:00:00Z,1945-01-08T00:00:00Z,12,Nilgiris
66,"A.F.W. Dixon, I.C.S., ",1943-11-28T00:00:00Z,1943-12-24T00:00:00Z,0,Nilgiris
65,"A.D. Crombie, I.C.S., ",1942-09-19T00:00:00Z,1943-11-27T00:00:00Z,14,Nilgiris
64,"R.C.S. Bell, I.C.S., ",1942-03-19T00:00:00Z,1942-09-18T00:00:00Z,5,Nilgiris
63,"E. Bennett, I.C.S., ",1940-01-11T00:00:00Z,1942-03-18T00:00:00Z,26,Nilgiris
62,"P. Macqueen, I.C.S., ",1938-10-22T00:00:00Z,1940-01-10T00:00:00Z,14,Nilgiris
61,"E.M. Gawhe, I.C.S., ",1938-08-21T00:00:00Z,1938-12-21T00:00:00Z,4,Nilgiris
60,"P. Macqueen I.C.S., ",1936-01-07T00:00:00Z,1938-08-20T00:00:00Z,31,Nilgiris
59,"A.C. Blake, I.C.S., ",1933-12-03T00:00:00Z,1936-01-06T00:00:00Z,25,Nilgiris
58,"E.C. Wood, I.C.S., ",1932-10-05T00:00:00Z,1933-12-02T00:00:00Z,13,Nilgiris
57,"R.B. Mc even, I.C.S., ",1932-07-02T00:00:00Z,1932-10-04T00:00:00Z,3,Nilgiris
56,"C.H. Masvermam, I.C.S., ",1932-02-12T00:00:00Z,1932-07-01T00:00:00Z,4,Nilgiris
55,"T. Austin, I.C.S., ",1931-07-07T00:00:00Z,1932-02-11T00:00:00Z,7,Nilgiris
54,"E.F. Thomas, I.C.S., ",1931-03-10T00:00:00Z,1931-07-06T00:00:00Z,3,Nilgiris
53,"A.R. Cox, I.C.S., ",1928-10-27T00:00:00Z,1931-03-09T00:00:00Z,28,Nilgiris
52,"R.B. Mac even, I.C.S., ",1928-10-17T00:00:00Z,1928-10-26T00:00:00Z,0,Nilgiris
51,"G.H. Cookie, I.C.S., ",1928-03-21T00:00:00Z,1928-10-16T00:00:00Z,6,Nilgiris
50,"C.F. Brackenbury, I.C.S., ",1926-04-17T00:00:00Z,1928-03-20T00:00:00Z,23,Nilgiris
49,"C.D.A. Crofton, I.C.S., ",1922-11-17T00:00:00Z,1926-02-20T00:00:00Z,39,Nilgiris
48,"W.G. Mcfarland, I.C.S., ",1921-04-16T00:00:00Z,1922-11-16T00:00:00Z,19,Nilgiris
47,"J.F. Bryant, I.C.S., ",1919-04-12T00:00:00Z,1921-04-15T00:00:00Z,24,Nilgiris
46,"G.W. Wells, I.C.S., ",1919-03-15T00:00:00Z,1919-04-11T00:00:00Z,0,Nilgiris
45,"R.W. Davies, I.C.S., ",1919-02-21T00:00:00Z,1919-03-14T00:00:00Z,0,Nilgiris
44,"A.R. Cumming, I.C.S., ",1917-01-22T00:00:00Z,1919-02-20T00:00:00Z,24,Nilgiris
43,"A.R. Knapp, I.C.S., ",1916-03-21T00:00:00Z,1917-01-21T00:00:00Z,10,Nilgiris
42,"M. Young, I.C.S., ",1912-06-02T00:00:00Z,1916-03-20T00:00:00Z,45,Nilgiris
41,"E.W. Legh, I.C.S., ",1911-11-18T00:00:00Z,1912-06-01T00:00:00Z,6,Nilgiris
40,"P.S.P. Rice, I.C.S., ",1910-11-09T00:00:00Z,1911-11-17T00:00:00Z,12,Nilgiris
39,"L. Davidson, I.C.S., ",1910-08-10T00:00:00Z,1910-11-08T00:00:00Z,2,Nilgiris
38,"W. Francis, I.C.S., ",1909-11-03T00:00:00Z,1910-08-09T00:00:00Z,9,Nilgiris
37,"A.R. Cumming, I.C.S., ",1909-07-29T00:00:00Z,1909-11-02T00:00:00Z,3,Nilgiris
36,"E.W. Legh, I.C.S., ",1909-07-13T00:00:00Z,1909-07-28T00:00:00Z,0,Nilgiris
35,"W. Francis, I.C.S., ",1909-02-27T00:00:00Z,1909-07-12T00:00:00Z,4,Nilgiris
34,"J.H. Robertson, I.C.S., ",1908-04-11T00:00:00Z,1909-02-24T00:00:00Z,10,Nilgiris
33,"L.E. Buckely, I.C.S., ",1905-11-08T00:00:00Z,1908-04-10T00:00:00Z,29,Nilgiris
32,"C.M. Mullay, I.C.S., ",1905-07-08T00:00:00Z,1905-11-07T00:00:00Z,3,Nilgiris
31,"A.L. Harrey, I.C.S., ",1905-05-10T00:00:00Z,1905-07-07T00:00:00Z,1,Nilgiris
30,"C.M. Mullay, I.C.S., ",1901-05-04T00:00:00Z,1905-05-09T00:00:00Z,48,Nilgiris
29,"C. J. Weir, I.C.S., ",1901-05-01T00:00:00Z,1901-05-03T00:00:00Z,0,Nilgiris
28,"C.M. Mullay, I.C.S., ",1900-12-31T00:00:00Z,1901-04-30T00:00:00Z,3,Nilgiris
27,"C.J. Weir, I.C.S., ",1899-08-02T00:00:00Z,1900-12-30T00:00:00Z,16,Nilgiris
26,"S.G. Roberts, I.C.S., ",1899-06-18T00:00:00Z,1899-08-01T00:00:00Z,1,Nilgiris
25,"C. J. Weir, I.C.S., ",1899-02-01T00:00:00Z,1899-06-17T00:00:00Z,4,Nilgiris
24,"A. Butter Worth, I.C.S., ",1898-07-27T00:00:00Z,1899-01-31T00:00:00Z,6,Nilgiris
23,"D.W.G. Cowie, I.C.S., ",1898-06-12T00:00:00Z,1898-07-26T00:00:00Z,1,Nilgiris
22,"J.H.A. Tremenhere, I.C.S., ",1898-05-27T00:00:00Z,1898-06-11T00:00:00Z,0,Nilgiris
21,"D.W.G. Cowie, I.C.S., ",1898-02-21T00:00:00Z,1898-05-26T00:00:00Z,3,Nilgiris
20,"H.A. Stuart, I.C.S., ",1897-11-17T00:00:00Z,1898-02-20T00:00:00Z,3,Nilgiris
19,"J.H.A. Tremenhere, I.C.S., ",1896-08-16T00:00:00Z,1897-11-16T00:00:00Z,15,Nilgiris
18,"J.D. Rees, I.C.S., ",1896-04-09T00:00:00Z,1896-08-15T00:00:00Z,4,Nilgiris
17,"E.C. Rowson, I.C.S., ",1895-11-30T00:00:00Z,1896-04-08T00:00:00Z,4,Nilgiris
16,"J.D. Rees, I.C.S., ",1895-07-19T00:00:00Z,1895-11-29T00:00:00Z,4,Nilgiris
15,"H.A. Sim, I.C.S., ",1895-04-15T00:00:00Z,1895-07-18T00:00:00Z,3,Nilgiris
14,"J.D. Rees, I.C.S., ",1893-12-22T00:00:00Z,1895-04-14T00:00:00Z,15,Nilgiris
13,"F.D.O. Murray, I.C.S., ",1893-01-19T00:00:00Z,1893-12-21T00:00:00Z,11,Nilgiris
12,"J.D. Rees, I.C.S., ",1891-12-16T00:00:00Z,1893-01-18T00:00:00Z,13,Nilgiris
11,"C.F. Maccartie, I.C.S., ",1889-04-09T00:00:00Z,1891-12-15T00:00:00Z,32,Nilgiris
10,"L.R. Burrows, I.C.S., ",1884-02-09T00:00:00Z,1889-04-08T00:00:00Z,61,Nilgiris
9,"F. Brandt, I.C.S., ",1883-03-22T00:00:00Z,1884-02-08T00:00:00Z,10,Nilgiris
8,"A.J. B. Arkinson, I.C.S., ",1882-10-17T00:00:00Z,1883-03-21T00:00:00Z,5,Nilgiris
7,"R.W. Barlow, I.C.S., ",1881-11-27T00:00:00Z,1882-10-16T00:00:00Z,10,Nilgiris
6,"N.A. Roupell, I.C.S., ",1880-05-21T00:00:00Z,1881-11-26T00:00:00Z,18,Nilgiris
5,"R.W. Barlow, I.C.S., ",1878-03-18T00:00:00Z,1880-05-20T00:00:00Z,26,Nilgiris
4,"A.M. Webster, I.C.S., ",1876-12-13T00:00:00Z,1878-03-17T00:00:00Z,15,Nilgiris
3,"W.H. Comyu, I.C.S., ",1876-10-21T00:00:00Z,1876-12-12T00:00:00Z,1,Nilgiris
2,"J.R. Cockerell, I.C.S., ",1872-06-20T00:00:00Z,1876-10-20T00:00:00Z,52,Nilgiris
1,"J.W. Breeks, I.C.S., ",1868-08-01T00:00:00Z,1872-06-19T00:00:00Z,46,Nilgiris
13,"V. Santha, I.A.S ",2017-06-04T00:00:00Z,Till Date,,Perumbalur
12,"K. Nanthakumar, I.A.S ",2016-01-22T00:00:00Z,2017-06-03T00:00:00Z,16,Perumbalur
11,"Dr. Darez Ahamed, I.A.S ",2011-06-06T00:00:00Z,2016-01-21T00:00:00Z,55,Perumbalur
10,"M. Vijayakumar, I.A.S ",2009-06-04T00:00:00Z,2011-06-06T00:00:00Z,24,Perumbalur
9,"R. Sudalaikannan, I.A.S ",2009-02-25T00:00:00Z,2009-06-03T00:00:00Z,3,Perumbalur
8,"Anil Meshram, I.A.S ",2006-05-31T00:00:00Z,2009-02-24T00:00:00Z,32,Perumbalur
7,"D. Vivekanandan, I.A.S ",2004-06-03T00:00:00Z,2006-05-30T00:00:00Z,23,Perumbalur
6,"S. Natarajan, I.A.S ",2003-07-17T00:00:00Z,2004-06-02T00:00:00Z,10,Perumbalur
5,"Rajesh Lakhoni, I.A.S ",2001-12-12T00:00:00Z,2003-07-16T00:00:00Z,19,Perumbalur
4,"K. Panider Reddy, I.A.S ",1999-12-05T00:00:00Z,2001-12-12T00:00:00Z,24,Perumbalur
3,"C. Kosalaraman, I.A.S ",1998-05-11T00:00:00Z,1999-12-04T00:00:00Z,18,Perumbalur
2,"Yethiranath Swain, I.A.S ",1997-05-13T00:00:00Z,1998-05-10T00:00:00Z,11,Perumbalur
1,"K. Nanadakishore, I.A.S ",1995-10-13T00:00:00Z,1997-05-12T00:00:00Z,18,Perumbalur
