head,desc,2018,2019Est,2019Rev,2020Est
115,Tholudur Reservoir,2,"4,11","4,11","4,34"
116,Lower Bhavani Project,"3,07,10","3,26,20","5,51,14","5,91,41"
117,Cauvery-Mettur Project,"89,60","77,00","77,00","80,85"
118,Mettur Canal,"16,32","11,50","11,10","11,66"
119,Sathanur Project,"87,46","1,22,04","44,28","46,50"
120,Chembarambakkam Tank,"4,89","1,29,00","27,66","28,09"
121,Manimuthar Project,"12,14","32,10","15,03","19,08"
122,Kattalai Project System,"7,23","18,53","18,53","19,46"
123,New Kattalai High - Level Canal,"1,24","2,92","2,92","3,07"
124,Pullambadi Canal,68,26,"1,21","1,27"
125,Vaigai Project,"27,91","31,00","31,00","32,55"
127,Manjalar Project,"1,56","14,74","4,10","4,30"
128,Poiney Anicut,,1,1,1
129,Cheyyar Anicut,30,"9,47",48,52
130,Arakkankottai Channel,"2,64","18,75","4,76","5,70"
131,Amaravathi Reservoir Project,"65,81","89,50","89,50","99,80"
132,Nandiar System,15,30,69,72
133,Thirukoilur System,,"12,13","1,17","1,26"
134,Manimuktha Nadhi Project,5,76,76,85
135,Gomukhi Nadhi Project,33,"1,23","1,23","1,30"
136,Vidur Reservoir Project,4,35,35,37
138,Ponnaiar Scheme,,5,5,5
141,Gatana Project System,"3,38","4,75","3,50","3,75"
142,Ramanadhi Project System,"1,30","4,75","2,50","2,75"
143,Karuppa Nadhi Project,"2,88","4,25","4,00","4,25"
144,Grand Anicut Canal System,"8,01","20,00","8,00","8,40"
146,Palar-Porandalar Systems,"1,63","1,12","1,12","1,25"
148,Chinnar Reservoir Project,60,"1,10","1,17","1,29"
149,Varadhamanadhi Scheme,"1,20","1,45","1,45","1,53"
151,Parappalar Scheme,8,35,35,50
153,Viraganaur Regulator,,"50,00","50,00","52,50"
154,Gundar Project System,"2,52","10,75","7,95","8,35"
155,Parthibanur Regulator,"4,53","9,57","3,86","4,07"
156,Vaniar Reservoir Project,"2,73","2,40","3,63","3,99"
157,Pambar Reservoir Project,72,"2,00","3,99","4,31"
158,Ichambadi Anicut Scheme,17,40,21,23
161,Kelavarapalli Reservoir Scheme,"3,65","8,05","5,97","6,57"
163,Thumbalahalli Reservoir Project,38,30,13,14
164,Thoppaiar Reservoir Project,,10,30,32
165,Kesari Gulihalla Reservoir Project,8,"1,00",10,16
166,Nagavathi Reservoir Project,,35,45,48
167,Shulagiri-Chinnar Project,,5,30,33
168,Tamaraparani Anicut System,"1,31,07","94,94","57,32","60,34"
170,Nanjiyar Reservoir Scheme,"22,37","30,12","28,42","30,15"
171,Anaimaduvu Reservoir Project,10,"1,15","1,02","1,13"
172,Kariakoil Reservoir Project,6,"1,02","1,07","1,22"
173,Noyyal Oarathupalayam Reservoir system,61,"1,75",60,70
174,Noyyal Reservoir system,"2,08","4,41","1,66","3,29"
175,Kuthiraiyar System,81,"1,15","1,15","1,30"
176,Kodaganar System,6,"1,20","1,20","1,40"
177,Vattamalai karai Odai,44,"2,00","2,00","2,20"
202,Vasista Nadhi System,,43,43,45
03,Total 03,"10,32,75","14,62,89","17,12,77","18,27,46"
80,General,,,,
800,Other Receipts,"29,71,14","75,91,32","23,68,08","47,01,71"
80,Total 80,"29,71,14","75,91,32","23,68,08","47,01,71"
0701,Total 0701,"44,69,90","98,82,51","72,06,37","98,92,01"
0702,MINOR IRRIGATION,,,,
02,Ground water,,,,
101,Receipts from Tube Wells,"89,02","75,00","72,00","75,00"
800,Other Receipts,"1,91,58","92,69","1,44,22","1,49,18"
02,Total 02,"2,80,60","1,67,69","2,16,22","2,24,18"
0702,Total 0702,"2,80,60","1,67,69","2,16,22","2,24,18"
0801,POWER,,,,
80,General,,,,
800,Other Receipts,"2,89,88",1,1,1
80,Total 80,"2,89,88",1,1,1
0801,Total 0801,"2,89,88",1,1,1
0802-00,PETROLEUM,,,,
104,Receipts under the Petroleum Act,"2,35",75,"1,20","1,26"
0802,Total 0802,"2,35",75,"1,20","1,26"
0810-00,NON-CONVENTIONAL SOURCES OF ENERGY,,,,
102,Solar,,"8,50,00","18,76,75",1
800,Other Receipts,"68,93",1,1,1
0810,Total 0810,"68,93","8,50,01","18,76,76",2
0851-00,VILLAGE AND SMALL INDUSTRIES,,,,
101,Industrial Estates,"11,45,47","6,24,30","19,46,37","21,38,58"
102,Small-Scale Industries,"5,86,26","6,28,11","6,75,17","6,53,17"
107,Sericulture Industries,"7,33,20","8,11,03","7,91,06","8,49,06"
800,Other Receipts,"5,35,80","4,45,41","5,77,75","5,48,15"
0851,Total 0851,"30,00,73","25,08,85","39,90,35","41,88,96"
0852,INDUSTRIES,,,,
07,Telecommunication and Electronic Industries,,,,
202,Electronics,5,,,
07,Total 07,5,,,
08,Consumer Industries,,,,
201,Sugar,"6,20","5,95","5,95","5,95"
600,Others,"84,42","11,00","80,00","85,00"
08,Total 08,"90,62","16,95","85,95","90,95"
80,General,,,,
800,Other Receipts,16,60,"1,77","1,54"
80,Total 80,16,60,"1,77","1,54"
0852,Total 0852,"90,83","17,55","87,72","92,49"
0853-00,NON-FERROUS MINING AND METALLURGICAL INDUSTRIES,,,,
102,"Mineral Concession Fees, Rents and Royalties","1,002,55,14","1,103,00,00","1,038,69,43","1,142,56,37"
104,Mines Department,"1,53,24","1,91,40","1,00,00","1,60,00"
501,Service and Service Fees,"2,93",1,50,50
800,Other Receipts,"289,83,24","1,020,52,62","472,28,71","1,103,95,08"
900,Deduct-Refunds,"- 236,49,30","- 137,94,03","- 229,73,63","- 25,76,83"
0853,Total 0853,"1,057,45,25","1,987,50,00","1,282,25,01","2,222,35,12"
1051,PORTS AND LIGHT HOUSES,,,,
80,General,,,,
800,Other Receipts,"2,95,80","3,65,00","3,65,00","4,00,00"
80,Total 80,"2,95,80","3,65,00","3,65,00","4,00,00"
1051,Total 1051,"2,95,80","3,65,00","3,65,00","4,00,00"
1054-00,ROADS AND BRIDGES,,,,
102,Tolls on Roads,"1,60,92","1,11,00","1,72,00","1,93,00"
800,Other Receipts,"141,51,65","153,32,25","91,80,98","98,09,71"
1054,Total 1054,"143,12,57","154,43,25","93,52,98","100,02,71"
1056-00,INLAND WATER TRANSPORT,,,,
800,Other Receipts,"25,05","1,03,46","47,85","49,04"
1056,Total 1056,"25,05","1,03,46","47,85","49,04"
1452-00,TOURISM,,,,
800,Other Receipts,"59,60","32,00","50,00","52,00"
1452,Total 1452,"59,60","32,00","50,00","52,00"
1456-00,CIVIL SUPPLIES,,,,
900,Deduct-Refunds,"- 2,98",,,
1456,Total 1456,"2,57,37","2,13,20","1,43,25","1,42,29"
1475-00,OTHER GENERAL ECONOMIC SERVICES,,,,
106,Fees for Stamping Weights and Measures,"32,86,61","50,00,00","38,42,88","42,27,17"
200,Regulation of Other Business Undertakings,"33,34,84","32,30,08","24,98,24","27,41,10"
800,Other Receipts,"2,90,31","5,20,13","3,44,20","3,45,20"
1475,Total 1475,"69,11,76","87,50,21","66,85,32","73,13,47"
1601,GRANTS-IN-AID FROM CENTRAL GOVERNMENT,,,,
03,GRANTS FOR CENTRAL PLAN SCHEMES,,,,
900,Deduct-Refunds,"- 1,26",,,
03,Total 03,"- 1,26",,,
04,GRANTS FOR CENTRALLY SPONSORED PLAN SCHEMES,,,,
900,Deduct - Refunds,"- 1,23,30",,,
04,Total 04,"- 1,23,30",,,
06,CENTRALLY SPONSORED SCHEMES,,,,
101,Central Assistance / Share,"14,506,41,09","13,333,73,90","15,557,19,75","15,786,68,34"
102,Externally Aided Projects - Grants for Centrally Sponsored Schemes,"1,85,64",1,1,1
105,Training - Training of Craftsmen and Supervisors,"1,26,25",1,1,1
107,Village and Small Industries - Handloom Industries,,1,,
111,Police - Other Grants,,1,1,1
115,Welfare of Scheduled Tribes,"3,15,00","31,51,00","25,55,40","33,13,00"
116,Family Welfare - Reproductive and Child Health,"243,22,09",,,
117,Family Welfare - Prevention and Control of Diseases,"64,36,39",,,
06,Total 06,"14,820,26,46","13,365,24,94","15,582,75,18","15,819,81,37"
07,FINANCE COMMISSION GRANTS,,,,
101,Post Devolution Revenue Deficit Grant,,,,"4,025,00,00"
102,Grants for Rural Local Bodies,"1,634,99,00","2,659,50,00","2,351,51,00","3,607,00,01"
103,Grants for Urban Local Bodies,"1,363,07,00","2,519,02,00","2,262,25,50","1,737,00,01"
104,Grants-in-Aid for State Disaster Response Fund,"707,40,00","743,00,00","743,00,00","1,020,00,00"
07,Total 07,"3,705,46,00","5,921,52,00","5,356,76,50","10,389,00,02"
08,OTHER TRANSFER/GRANTS TO STATES/UNION TERRITORIES WITH LEGISLATURES,,,,
106,Grants towards Contribution to National Disaster Response Fund (NDRF),"900,31,00",1,1,1
108,Grants from Central Road Fund,"416,88,00","600,00,00","354,38,00","428,00,84"
113,Special Assistance,"363,40,82","125,97,02","125,05,48","148,48,41"
114,Compensation for loss of revenue arising out of implementation of GST,"3,151,00,00","5,582,00,00","9,000,00,00","10,300,00,00"
117,Police-Modernisation of Police,"24,19",1,1,1
118,Grants to cover gap in resources - CST,,1,,
121,Grants under proviso to Article 275 (1) of the Constitution,"7,73,57","8,00,00","41,16,78","8,00,00"
130,Family Welfare - Prevention and control of diseases,"38,06",1,1,1
156,Crop Husbandry - Agricultural Economics and Statistics,"3,77,19",1,"3,45,27","3,38,28"
162,Fisheries - Marine Fisheries,,1,1,1
163,Heritage City Development and Augmentation Yojana (HRIDAY),,1,1,1
08,Total 08,"4,843,72,83","6,315,97,09","9,524,05,58","10,887,87,58"
1601,Total 1601,"23,368,20,73","25,602,74,03","30,463,57,26","37,096,68,97"
